,satisfaction_life,satisfaction_economy,satisfaction_government,satisfaction_democracy,satisfaction_education,satisfaction_health_services,immigration_same_ethnicity,immigration_diff_ethnicity,immigration_world_poor,country,gender,age,degree,weight
218,10,9,10,10,10,10,Allow some,Allow some,Allow some,Austria,Male,26.0,False,0.358627105
219,8,6,1,7,7,7,Allow a few,Allow a few,Allow a few,Austria,Female,77.0,False,0.162999108
220,9,8,7,9,8,9,Allow many to come and live here,Allow some,Allow some,Austria,Female,63.0,False,0.187091139
221,8,8,8,8,8,8,Allow many to come and live here,Allow some,Allow some,Austria,Male,52.0,False,0.358200071
222,8,8,6,4,7,10,Allow a few,Allow a few,Allow a few,Austria,Male,62.0,False,0.17910003600000002
223,8,7,0,5,5,7,Allow many to come and live here,Allow many to come and live here,Allow many to come and live here,Austria,Female,24.0,False,0.16707698699999998
224,8,6,7,7,9,8,Allow some,Allow some,Allow a few,Austria,Male,29.0,False,0.334153973
225,6,8,4,8,8,8,Allow a few,Allow a few,Allow a few,Austria,Male,70.0,False,0.17931355300000001
226,7,5,5,4,3,3,Allow some,Allow a few,Allow a few,Austria,Female,65.0,False,0.346540296
227,7,6,7,5,6,8,Allow none,Allow none,Allow none,Austria,Female,46.0,False,0.123896139
228,8,7,6,7,5,6,Allow a few,Allow a few,Allow none,Austria,Female,31.0,False,0.348287406
229,8,7,4,7,7,7,Allow some,Allow a few,Allow a few,Austria,Female,44.0,False,0.321054448
230,9,9,9,9,9,9,Allow some,Allow some,Allow a few,Austria,Female,16.0,False,0.363151961
231,8,8,2,3,1,5,Allow some,Allow some,Allow some,Austria,Male,75.0,True,0.43720815399999996
232,7,7,7,7,7,4,Allow many to come and live here,Allow some,Allow some,Austria,Female,76.0,False,0.148831878
233,9,7,7,6,7,8,Allow a few,Allow a few,Allow a few,Austria,Female,49.0,False,0.299607248
234,8,6,8,8,9,9,Allow a few,Allow none,Allow none,Austria,Female,42.0,False,0.537300091
235,8,6,9,9,10,9,Allow a few,Allow a few,Allow a few,Austria,Female,20.0,False,0.141496488
236,10,8,7,7,10,10,Allow a few,Allow none,Allow none,Austria,Female,26.0,False,0.34781615200000005
237,8,8,5,8,5,8,Allow many to come and live here,Allow some,Allow some,Austria,Male,63.0,False,0.17931355300000001
238,8,7,8,8,8,8,Allow some,Allow a few,Allow a few,Austria,Male,55.0,False,0.15004871
239,10,5,3,5,8,7,Allow many to come and live here,Allow many to come and live here,Allow many to come and live here,Austria,Female,75.0,False,0.166345413
240,7,8,0,2,8,7,Allow many to come and live here,Allow many to come and live here,Allow many to come and live here,Austria,Male,38.0,False,0.323938595
241,9,5,2,5,5,5,Allow many to come and live here,Allow many to come and live here,Allow some,Austria,Female,51.0,False,0.11389203199999999
242,7,9,5,10,9,10,Allow many to come and live here,Allow many to come and live here,Allow many to come and live here,Austria,Male,43.0,False,0.17931355300000001
243,9,7,7,5,8,9,Allow some,Allow some,Allow some,Austria,Male,55.0,False,0.606231703
